300;32409857;0,1153206;True
300;32569100;0,1462256;True
300;30350862;0,1568716;True
600;163190719;0,658254;True
600;147778006;0,5835441;True
600;148430934;0,5411055;True
900;390957658;1,2510456;True
900;348243494;0,9840907;True
900;371639193;1,0780072;True
1200;676325373;1,919194;True
1200;760194373;2,1442548;True
1200;670725002;1,8867398;True
1500;1084161995;3,4013929;True
1500;1064589629;3,0221644;True
1500;1028603978;2,9487087;True
1800;1510703138;4,1862162;True
1800;1565275697;4,4955883;True
1800;1661261532;4,6141193;True
2100;2360205325;6,6262161;True
2100;2340074013;6,5470783;True
2100;2230936505;6,5116524;True
2400;3141402646;8,9683347;True
2400;3051157006;9,2214957;True
2400;2984495081;8,8127619;True
2700;3871338487;10,8832497;True
2700;3793116010;10,5591173;True
2700;3805862358;11,2950008;True
3000;4787528943;13,78793;True
3000;4776645627;13,6421974;True
3000;4819370486;13,5478343;True
